,Unnamed: 0,Date,Open,Close,Volume,Returns,High,Low,LongStop,ShortStop,stopdist_long,stopdist_short,Signal,Open.1,Regime_2,Prob_Regime0,Prob_Regime1,ROC_5,ROC_22,EMA_10,EMA_20,EMA_50,pice/ema50,pice/ema20,target_1d,target
450,450,2018-12-13 23:59:59.999,3446.38,3302.06,40040.917013,-4.149201741654574,3460.0,3255.5,3148.7654596613324,4362.985086304801,0.5460345758526461,3.779011165251196,0,3446.38,1.0,0.433337532694418,0.5666624673056109,-3.1917981313014265,-3.810794434993359,3545.3930983590008,3891.79961560286,4768.96563059513,-1466.9056305951303,-589.7396156028603,-0.02358830548203239,1
451,451,2018-12-14 23:59:59.999,3302.06,3224.17,44492.983807,-2.358830548203239,3335.39,3177.0,3148.7654596613324,4241.832077674321,0.2808296792967678,3.790086294832943,0,3302.06,0.0,0.6357059537030747,0.3642940462969543,-9.05970321856393,-4.621360257248419,3486.988898657364,3828.2158426883034,4708.385409787478,-1484.2154097874782,-604.0458426883024,-0.003861458918109295,1
452,452,2018-12-15 23:59:59.999,3225.19,3211.72,29796.041436,-0.3861458918109295,3276.5,3156.26,3148.7654596613324,4112.048869906889,0.2481654859163871,3.5490776405170807,0,3225.19,0.0,0.7563000537882575,0.2436999462117716,-6.4424040455827285,-6.771552975326567,3436.940007992389,3769.501952908464,4649.692648619342,-1437.9726486193426,-557.7819529084645,0.0052775459878195985,1
453,453,2018-12-16 23:59:59.999,3211.71,3228.67,24628.808538,0.5277545987819598,3294.0,3186.0,3148.7654596613324,4048.6109829162,0.3341724273462991,3.429112630902917,0,3211.71,0.0,0.6341479132013126,0.3658520867987164,-4.488239522658621,-2.222551982701704,3399.0727338119545,3717.9941478695623,4593.966270242114,-1365.2962702421137,-489.3241478695627,0.08685000325211312,1
454,454,2018-12-17 23:59:59.999,3229.22,3509.08,66762.216388,8.685000325211313,3585.0,3216.0,3148.7654596613324,4048.6109829162,1.4292493880963433,2.140142128228299,0,3229.22,1.0,4.944955096920605e-05,0.9999505504490598,1.860087082728601,8.836692854284966,3419.074054937053,3698.097562358176,4551.421710624776,-1042.3417106247762,-189.0175623581763,0.04100789950642336,1
455,455,2018-12-18 23:59:59.999,3509.03,3652.98,61369.615257,4.100789950642336,3678.59,3424.47,3148.7654596613324,4048.6109829162,1.998452536456697,1.5680819929918657,0,3509.03,1.0,0.0662719932129302,0.9337280067870988,10.6273053790664,13.73905570846774,3461.602408584862,3693.800651657397,4516.188702364981,-863.2087023649806,-40.82065165739732,0.0025294417160783844,1
456,456,2018-12-19 23:59:59.999,3653.0,3662.22,94137.341014,0.2529441716078384,3912.73,3622.55,3148.7654596613324,4048.6109829162,2.004975074590282,1.5088079448716845,0,3653.0,1.0,0.2278882475866599,0.772111752413369,13.586442402230636,13.428129849132908,3498.078334296705,3690.792970547169,4482.699733644786,-820.4797336447859,-28.57297054716946,0.10578283117890241,1
457,457,2018-12-20 23:59:59.999,3660.01,4049.62,101543.835986,10.57828311789024,4120.0,3635.0,3148.7654596613324,4048.6109829162,3.2290867622789725,-0.003616792237055,1,3660.01,1.0,4.968115801299896e-08,0.9999999503188708,26.088824679610934,15.404037525505254,3598.358637151849,3724.966973352201,4465.716214678324,-416.096214678324,324.6530266477994,-0.05209377670003601,0
458,458,2018-12-21 23:59:59.999,4051.86,3838.66,82343.850112,-5.209377670003601,4139.99,3764.0,3148.7654596613324,4222.107319502187,2.3898072002477355,1.328268469282537,0,4051.86,1.0,0.0174116824221036,0.9825883175779252,18.892918756020283,5.082973353262266,3642.049794033331,3735.794880651991,4441.1257748870175,-602.4657748870177,102.8651193480091,0.028720959918304922,0
459,459,2018-12-22 23:59:59.999,3840.25,3948.91,42822.350872,2.872095991830492,3979.0,3785.0,3148.7654596613324,4188.968587551968,2.8657047212528304,0.8597659460799253,0,3840.25,1.0,0.3205559348002514,0.6794440651997775,12.534054510014014,7.828311789024145,3697.842558754544,3756.0915586851343,4421.823195479683,-472.9131954796831,192.8184413148656,-0.004862101187416257,0
460,460,2018-12-23 23:59:59.999,3948.91,3929.71,40117.531529,-0.4862101187416257,4021.53,3870.0,3148.7654596613324,4144.279228796771,2.9309729685609,0.8053025240634447,0,3948.91,0.0,0.546385836274234,0.453614163725795,7.575458940371971,-2.9610185647048315,3740.000275344626,3772.626648334169,4402.524638794205,-472.8146387942052,157.08335166583083,0.019925134424677804,0
461,461,2018-12-24 23:59:59.999,3929.71,4008.01,64647.809129,1.9925134424677804,4198.0,3924.83,3148.7654596613324,4144.279228796771,3.216723390835681,0.5101462914724402,0,3929.71,1.0,0.4226519069719232,0.5773480930281057,9.442087040101368,4.411695747995403,3788.7293161910575,3795.044110397581,4387.053476488551,-379.0434764885504,212.96588960241888,-0.06542398846310271,0
462,462,2018-12-25 23:59:59.999,4010.11,3745.79,62725.629432,-6.542398846310271,4020.0,3646.41,3148.7654596613324,4144.279228796771,2.14938605558993,1.4346264413062553,0,4010.11,1.0,0.0071006129055351,0.992899387094494,-7.502679263733381,-5.1436978811874585,3780.922167792683,3790.353242740669,4361.905889175274,-616.1158891752739,-44.56324274066856,0.00852957587051062,0
463,463,2018-12-26 23:59:59.999,3745.56,3777.74,42629.375817,0.852957587051062,3837.15,3656.74,3148.7654596613324,4144.279228796771,2.346660436045891,1.3675324696179565,0,3745.56,1.0,0.1829566890913362,0.8170433109086928,-1.5870121344427557,-3.8672064859747945,3780.3435918303767,3789.151981527272,4338.9974229331065,-561.2574229331067,-11.41198152727202,-0.05554379073202498,0
464,464,2018-12-27 23:59:59.999,3777.74,3567.91,44097.392912,-5.554379073202497,3813.98,3535.0,3148.7654596613324,4144.279228796771,1.5574363282460597,2.141643965315525,0,3777.74,1.0,0.006446950644669,0.9935530493553596,-9.64823204377917,-10.980511525669856,3741.719302406672,3768.0813166199127,4308.758700465141,-740.8487004651415,-200.1713166199129,0.07605292734401936,1
